platform,content_id,author,text,title,description,hashtags,view_count,like_count,comment_count,engagement_score,posted_at,url,duration_seconds
youtube,9n06f6tn_38,LANEIGE US,"LIPS ARE GETTING A DOUBLE TASTE OF FALL 🥧💋 Laneige Pumpkin Pie Lip Sleeping Mask Welcome to the Laneige Café ☕✨🥧

A sweet, spiced scent + rich, nourishing hydration = fall’s most craveable combo- even in drink form. Limited-edition and already in carts!

Shop Pumpkin Pie Lip Sleeping Mask NOW @Sephora , #sephora @kohls @amazon us.laneige.com

#pumpkinpie #fall #falllip #lipsleepingmask #kbeauty #laneige",LIPS ARE GETTING A DOUBLE TASTE OF FALL 🥧💋 Laneige Pumpkin Pie Lip Sleeping Mask,"Welcome to the Laneige Café ☕✨🥧

A sweet, spiced scent + rich, nourishing hydration = fall’s most craveable combo- even in drink form. Limited-edition and already in carts!

Shop Pumpkin Pie Lip Sleeping Mask NOW @Sephora , #sephora @kohls @amazon us.laneige.com

#pumpkinpie #fall #falllip #lipsleepingmask #kbeauty #laneige",,288167,8937,261,9459,2025-09-27T14:00:12,https://www.youtube.com/watch?v=9n06f6tn_38,11
youtube,THX2E88Vsek,Jazzi Manalo,All of the LANEIGE Glaze Craze Lip Serum Shades!! 😍 They’re stunning ,All of the LANEIGE Glaze Craze Lip Serum Shades!! 😍 They’re stunning,,,298232,10077,86,10249,2025-02-16T16:33:25,https://www.youtube.com/watch?v=THX2E88Vsek,39
youtube,JVi_Z0yDZzA,LANEIGE US,"RARE LANEIGE LIP SLEEPING MASK SWIRL 🌈🍥 Which color combo is your favorite?! Visit the Laneige Grove Pop-up in LA and shop the exclusive Swirled Lip Sleeping Masks

✨WHERE: 189 The Grove Drive, Suite G1B, Los Angeles, CA 90036 (Located by La la land Cafe)

✨STORE HOURS:
Monday - Thursday: 10AM- 9PM
Friday- Saturday: 10AM- 10PM
Sunday: 11AM- 8PM
*Holiday hours may apply! 

#Laneige #LA #Event #Popup #Skincare #beautyvlog #invite #freeevent #losangeles #lipsleepingmask #exclusive #popup #rare #preppy #exclusive #preppy #preppyaesthetic #preppyyyy",RARE LANEIGE LIP SLEEPING MASK SWIRL 🌈🍥 Which color combo is your favorite?!,"Visit the Laneige Grove Pop-up in LA and shop the exclusive Swirled Lip Sleeping Masks

✨WHERE: 189 The Grove Drive, Suite G1B, Los Angeles, CA 90036 (Located by La la land Cafe)

✨STORE HOURS:
Monday - Thursday: 10AM- 9PM
Friday- Saturday: 10AM- 10PM
Sunday: 11AM- 8PM
*Holiday hours may apply! 

#Laneige #LA #Event #Popup #Skincare #beautyvlog #invite #freeevent #losangeles #lipsleepingmask #exclusive #popup #rare #preppy #exclusive #preppy #preppyaesthetic #preppyyyy",,2054912,44423,3425,51273,2025-04-23T13:00:27,https://www.youtube.com/watch?v=JVi_Z0yDZzA,11
youtube,rNKel7UJeO8,LANEIGE US,"YOU WON’T BELIEVE WHO’S BACK ✨🌙 Laneige Midnight Minis 5 sweet reasons to never skip lipcare again💋💫🍭

Midnight Minis is BACK with 3 Limited Edition Mini Lip Sleeping Masks, now with 2 fan-fave Lip Glowy Balms.

Mini but mighty, these icons deliver hydration day & night for your softest lips yet!

Shop now at @Sephora , #sephora at @kohls, & us.laneige.com

#laneige #lipbalm #limitededition #lipsleepingmask #lipbalm #kbeauty #koreanskincare #minis",YOU WON’T BELIEVE WHO’S BACK ✨🌙 Laneige Midnight Minis,"5 sweet reasons to never skip lipcare again💋💫🍭

Midnight Minis is BACK with 3 Limited Edition Mini Lip Sleeping Masks, now with 2 fan-fave Lip Glowy Balms.

Mini but mighty, these icons deliver hydration day & night for your softest lips yet!

Shop now at @Sephora , #sephora at @kohls, & us.laneige.com

#laneige #lipbalm #limitededition #lipsleepingmask #lipbalm #kbeauty #koreanskincare #minis",,347361,9932,551,11034,2025-09-06T13:59:51,https://www.youtube.com/watch?v=rNKel7UJeO8,15
youtube,75SsCuoSRqE,Vanessa Faga,I’ve been dreaming about this omg🍵💜 #laneige #lipglowybalm#laneigelipmask #unboxing#prunboxing ,I’ve been dreaming about this omg🍵💜 #laneige #lipglowybalm#laneigelipmask #unboxing#prunboxing,,,12223737,156582,317,157216,2025-05-22T16:12:12,https://www.youtube.com/watch?v=75SsCuoSRqE,17
youtube,6-fEyjK8um0,LANEIGE US,"PUTTING OUR SWEAT AND TEARS INTO THE SHOT 😅🤳🏼 Laneige Pumpkin Lip Sleeping Mask Putting in a sweat to get THE shot 🥵🧡

Capturing our NEW Pumpkin Pie Lip Sleeping Mask serving 8 hours of sweet, spiced hydration while you sleep! Smells just like the pie you just pulled out of the oven✨

Shop now @Sephora, #sephora @kohls, @amazon, @amazonbeauty and our site!

#laneige #fall #kbeauty #lip",PUTTING OUR SWEAT AND TEARS INTO THE SHOT 😅🤳🏼 Laneige Pumpkin Lip Sleeping Mask,"Putting in a sweat to get THE shot 🥵🧡

Capturing our NEW Pumpkin Pie Lip Sleeping Mask serving 8 hours of sweet, spiced hydration while you sleep! Smells just like the pie you just pulled out of the oven✨

Shop now @Sephora, #sephora @kohls, @amazon, @amazonbeauty and our site!

#laneige #fall #kbeauty #lip",,5460680,109193,415,110023,2025-10-29T15:25:27,https://www.youtube.com/watch?v=6-fEyjK8um0,12
youtube,eZs7TjJ_-Us,LANEIGE US,"The only right answer to ""Can I borrow a lip balm??"" is which one 😂 Who else's bag looks like this Shop on Sephora: https://www.sephora.com/product/P443563
Shop on Laneige: https://us.laneige.com/products/lip-glowy-balm

The Laneige Lip Glowy Balm is the perfect pocket-size lippie for easy on-the-go application! Apply the Lip Glowy Balm during the day for glossy, hydrated, subtly-tinted lips. 

Lip Glowy Balm comes in multiple flavors: Berry, Gummy Bear, Sweet Candy, Vanilla, Mango, Blueberry, Peach and Grapefruit 

Pick up your favorite flavor on @Sephora, #sephora at @kohls and on us.laneige.com

#laneige #kbeauty #koreanskincare #beauty #skincare #sephora #sephorahaul #lipgloss #glossy #lips #lipcare #vlog #beautyvlog #satisfying #satisfyingvideo #moisturebarrier #lipbalm","The only right answer to ""Can I borrow a lip balm??"" is which one 😂 Who else's bag looks like this","Shop on Sephora: https://www.sephora.com/product/P443563
Shop on Laneige: https://us.laneige.com/products/lip-glowy-balm

The Laneige Lip Glowy Balm is the perfect pocket-size lippie for easy on-the-go application! Apply the Lip Glowy Balm during the day for glossy, hydrated, subtly-tinted lips. 

Lip Glowy Balm comes in multiple flavors: Berry, Gummy Bear, Sweet Candy, Vanilla, Mango, Blueberry, Peach and Grapefruit 

Pick up your favorite flavor on @Sephora, #sephora at @kohls and on us.laneige.com

#laneige #kbeauty #koreanskincare #beauty #skincare #sephora #sephorahaul #lipgloss #glossy #lips #lipcare #vlog #beautyvlog #satisfying #satisfyingvideo #moisturebarrier #lipbalm",,1182519,20829,546,21921,2025-06-18T22:00:56,https://www.youtube.com/watch?v=eZs7TjJ_-Us,6
youtube,DzHwpkIFDk8,LANEIGE US,"Welcome to the Cream Skin Lab | Laneige with BTS Jin Skincare so good, it's Jin-ius! Find out why it's Jin's milky toner of choice👨‍🔬
🔎 2-in-1: Cream is blended with toner
🔎 lightweight texture that gives deep hydration, lasting 120 hrs*
🔎 8x immediate hydration*
*Based on a 1-week clinical study on 30 women ages 20-39. 

Cream Skin is available on  @Sephora and #Sephora at @kohls

#Laneige #Jin #Creamskin #koreanskincare #kbeauty #behindthescenes #wwh",Welcome to the Cream Skin Lab | Laneige with BTS Jin,"Skincare so good, it's Jin-ius! Find out why it's Jin's milky toner of choice👨‍🔬
🔎 2-in-1: Cream is blended with toner
🔎 lightweight texture that gives deep hydration, lasting 120 hrs*
🔎 8x immediate hydration*
*Based on a 1-week clinical study on 30 women ages 20-39. 

Cream Skin is available on  @Sephora and #Sephora at @kohls

#Laneige #Jin #Creamskin #koreanskincare #kbeauty #behindthescenes #wwh",,99807,11550,394,12338,2024-10-01T01:30:14,https://www.youtube.com/watch?v=DzHwpkIFDk8,16
youtube,hfQ24EMH6e8,LANEIGE US,"BREAKING INTO OUR POP-UP 💎👀🇰🇷 Laneige Seoul in the City We heard there were some Royal Jewels at our Seoul in the City Pop-Up 👀✨🇰🇷

Come join us at our Seoul in the City Pop-Up!

RSVP timeslots are full, but you can still stop by IRL and join our standby line for a chance to experience it!

✨First-come, first-served
✨Entry not guaranteed based on capacity

⏰When: Friday, October 24 & Saturday, October 25 | 10AM-7PM
📍Where: 45 West 25th Street, New York, NY 10010

Shop your K-Beauty faves from laneige, @innisfreeofficial , @Aestura_US , & @hanyulofficial 

*PLEASE DON’T STEAL, following us purely for laughs

#nycpopup #kbeauty #SEPHORA #laneige #koreanskincare",BREAKING INTO OUR POP-UP 💎👀🇰🇷 Laneige Seoul in the City,"We heard there were some Royal Jewels at our Seoul in the City Pop-Up 👀✨🇰🇷

Come join us at our Seoul in the City Pop-Up!

RSVP timeslots are full, but you can still stop by IRL and join our standby line for a chance to experience it!

✨First-come, first-served
✨Entry not guaranteed based on capacity

⏰When: Friday, October 24 & Saturday, October 25 | 10AM-7PM
📍Where: 45 West 25th Street, New York, NY 10010

Shop your K-Beauty faves from laneige, @innisfreeofficial , @Aestura_US , & @hanyulofficial 

*PLEASE DON’T STEAL, following us purely for laughs

#nycpopup #kbeauty #SEPHORA #laneige #koreanskincare",,316197,9064,189,9442,2025-10-25T21:27:54,https://www.youtube.com/watch?v=hfQ24EMH6e8,14
youtube,ZGbg7aQQPDE,LANEIGE US,"DID WE JUST CREATE A NEW LIPPIE COLOR?! 👀💗 Laneige Glaze Craze Tinted Lip Serum Making our own custom glaze craze by mixing all 8 shades together! 🤭💗 Should we make this shade for real? 👀

Shop now @amazon and us.laneige.com

#laneigeus #sephorahaul #sephorasale #sephora #glazecraze #swatch #lipcare #lipserum #kbeauty",DID WE JUST CREATE A NEW LIPPIE COLOR?! 👀💗 Laneige Glaze Craze Tinted Lip Serum,"Making our own custom glaze craze by mixing all 8 shades together! 🤭💗 Should we make this shade for real? 👀

Shop now @amazon and us.laneige.com

#laneigeus #sephorahaul #sephorasale #sephora #glazecraze #swatch #lipcare #lipserum #kbeauty",,1226249,28565,1577,31719,2025-10-16T13:01:09,https://www.youtube.com/watch?v=ZGbg7aQQPDE,19
youtube,3Xpd7Mn4s_4,LANEIGE US,"Matching My Nails To The Laneige Lip Glowy Balm✨🌸 Matching our nails to our Lip Glowy Balm flavors to celebrate being the #1 Lip Treatment Brand in the US* 💅 Talk about ICONIC! 💖

Stock up on all your fav flavors now at @Sephora  #sephora at @kohls  and us.laneige.com

*Source: Circana, U.S. Prestige Beauty Total Measured Market, Skincare Brand Sales, 12 months ending December 2023

#laneige #kbeauty #koreanskincare #beauty #skincare #sephora #sephorahaul #lipgloss #glossy #lips #lipcare #vlog #beautyvlog #satisfying #satisfyingvideo #naildesign #auranails",Matching My Nails To The Laneige Lip Glowy Balm✨🌸,"Matching our nails to our Lip Glowy Balm flavors to celebrate being the #1 Lip Treatment Brand in the US* 💅 Talk about ICONIC! 💖

Stock up on all your fav flavors now at @Sephora  #sephora at @kohls  and us.laneige.com

*Source: Circana, U.S. Prestige Beauty Total Measured Market, Skincare Brand Sales, 12 months ending December 2023

#laneige #kbeauty #koreanskincare #beauty #skincare #sephora #sephorahaul #lipgloss #glossy #lips #lipcare #vlog #beautyvlog #satisfying #satisfyingvideo #naildesign #auranails",,11828439,439937,4197,448331,2024-06-20T14:00:05,https://www.youtube.com/watch?v=3Xpd7Mn4s_4,17
